,date,time,x-pid,x-status,x-ctx,x-comment,new,hello
92,2017-10-28,08:57:47,10124,(s)2641173,<08:57:47:326>,USER,[online_directory]:,"client connected. name:mitmpmp1099 id:4702111235229958511,183.182.85.18"
93,2017-10-28,08:57:47,10124,(s)2641173,<08:57:47:388>,USER,"[setValue:users_so,mitmpmp1099]:",Set shared object property
94,2017-10-28,08:57:48,10124,(s)2641173,<08:57:48:492>,USER,"[disconnectPreviousConnections, Name:epmcektn1061: NewId:4702111235246735727: retryCounter:0: NewIP:210.212.247.178: NewMacAddress:A4-1F-72-88-96-A5]:",Entered Function Current number of clients:12
95,2017-10-28,08:57:48,10124,(s)2641173,<08:57:48:493>,USER,[online_directory]:,"client connected. name:epmcektn1061 id:4702111235246735727,210.212.247.178"
96,2017-10-28,08:57:48,10124,(s)2641173,<08:57:48:625>,USER,"[setValue:users_so,epmcektn1061]:",Set shared object property
97,2017-10-28,08:57:48,10124,(s)2641173,<08:57:48:668>,USER,"[setValue:users_so,mitmpmp1099]:",Set shared object property
98,2017-10-28,08:57:49,10124,(s)2641173,<08:57:49:940>,USER,"[setValue:users_so,epmcektn1061]:",Set shared object property
99,2017-10-28,08:58:33,10124,(s)2641173,<08:58:33:713>,USER,"[poll:4702111234542092655,122.252.231.138,gituk1210]:",Polled from client. Printed only once in 100 polls.
100,2017-10-28,08:58:51,10124,(s)2641173,<08:58:51:652>,USER,"[poll:4702111235062186351,115.248.171.105,sfitbwm1067]:",Polled from client. Printed only once in 100 polls.
101,2017-10-28,08:59:19,10124,(s)2641173,<08:59:19:347>,USER,"[disconnectPreviousConnections, Name:mitmpmp1099: NewId:4702111235313844591: retryCounter:0: NewIP:183.182.85.18: NewMacAddress:64-00-6A-14-E9-75]:",Entered Function Current number of clients:13
102,2017-10-28,08:59:19,10124,(s)2641173,<08:59:19:347>,USER,"[disconnectPreviousConnections, Name:mitmpmp1099: NewId:4702111235313844591: retryCounter:0: NewIP:183.182.85.18: NewMacAddress:64-00-6A-14-E9-75]:",Calling the duplicate login call back function:: id:4702111235229958511: ip:183.182.85.18: hardwareAddress:64-00-6A-14-E9-75: name:mitmpmp1099: retryDisconnect:undefined
103,2017-10-28,08:59:19,10124,(s)2641173,<08:59:19:348>,USER,"[disconnectPreviousConnections, Name:mitmpmp1099: NewId:4702111235313844591: retryCounter:0: NewIP:183.182.85.18: NewMacAddress:64-00-6A-14-E9-75]:",Setting the 1 second interval:
104,2017-10-28,08:59:19,10124,(s)2641173,<08:59:19:348>,USER,"[disconnectPreviousConnections, Name:mitmpmp1099: NewId:4702111235313844591: retryCounter:0: NewIP:183.182.85.18: NewMacAddress:64-00-6A-14-E9-75]:",DisconnectIntervalId:2
105,2017-10-28,08:59:19,10124,(s)2641173,<08:59:19:348>,USER,[online_directory]:,"client connected. name:mitmpmp1099 id:4702111235313844591,183.182.85.18"
106,2017-10-28,08:59:19,10124,(s)2641173,<08:59:19:414>,USER,"[setValue:users_so,mitmpmp1099]:",Set shared object property
107,2017-10-28,08:59:20,10124,(s)2641173,<08:59:20:347>,USER,"[disconnectConnectionO Client:4702111235229958511,183.182.85.18,mitmpmp1099]:",Entered Function
108,2017-10-28,08:59:20,10124,(s)2641173,<08:59:20:347>,USER,"[disconnectConnectionO Client:4702111235229958511,183.182.85.18,mitmpmp1099]:",Called clear interval
109,2017-10-28,08:59:20,10124,(s)2641173,<08:59:20:347>,USER,"[disconnectConnectionO Client:4702111235229958511,183.182.85.18,mitmpmp1099]:",Exited Function
110,2017-10-28,08:59:21,10124,(s)2641173,<08:59:21:430>,USER,"[setValue:users_so,mitmpmp1099]:",Set shared object property
111,2017-10-28,08:59:35,10124,(s)2641173,<08:59:35:017>,USER,"[disconnectPreviousConnections, Name:mgmcetnup1205: NewId:4702111235364176239: retryCounter:0: NewIP:103.251.60.6: NewMacAddress:00-00-00-00-00-00-00-E0]:",Entered Function Current number of clients:13
112,2017-10-28,08:59:35,10124,(s)2641173,<08:59:35:018>,USER,[online_directory]:,"client connected. name:mgmcetnup1205 id:4702111235364176239,103.251.60.6"
113,2017-10-28,08:59:35,10124,(s)2641173,<08:59:35:068>,USER,"[setValue:users_so,mgmcetnup1205]:",Set shared object property
114,2017-10-28,08:59:37,10124,(s)2641173,<08:59:37:833>,USER,"[setValue:users_so,mgmcetnup1205]:",Set shared object property
115,2017-10-28,08:59:47,10124,(s)2641173,<08:59:47:403>,USER,"[poll:4702111234726642031,14.139.209.3,nitat1133]:",Polled from client. Printed only once in 100 polls.
116,2017-10-28,09:00:09,10124,(s)2641173,<09:00:09:577>,USER,"[disconnectPreviousConnections, Name:sistesmp1292: NewId:4702111235414507887: retryCounter:0: NewIP:122.15.249.18: NewMacAddress:00-00-00-00-00-00-00-E0]:",Entered Function Current number of clients:14
117,2017-10-28,09:00:09,10124,(s)2641173,<09:00:09:578>,USER,[online_directory]:,"client connected. name:sistesmp1292 id:4702111235414507887,122.15.249.18"
118,2017-10-28,09:00:09,10124,(s)2641173,<09:00:09:649>,USER,"[setValue:users_so,sistesmp1292]:",Set shared object property
119,2017-10-28,09:00:13,10124,(s)2641173,<09:00:13:388>,USER,"[setValue:users_so,sistesmp1292]:",Set shared object property
120,2017-10-28,09:00:14,10124,(s)2641173,<09:00:14:798>,USER,"[disconnectPreviousConnections, Name:tteacher: NewId:4702111235431285103: retryCounter:0: NewIP:14.139.97.84: NewMacAddress:00-22-4D-AC-4D-92]:",Entered Function Current number of clients:15
121,2017-10-28,09:00:14,10124,(s)2641173,<09:00:14:799>,USER,[online_directory]:,"client connected. name:tteacher id:4702111235431285103,14.139.97.84"
122,2017-10-28,09:00:14,10124,(s)2641173,<09:00:14:820>,USER,"[setValue:users_so,tteacher]:",Set shared object property
123,2017-10-28,09:00:17,10124,(s)2641173,<09:00:17:801>,USER,"[setValue:users_so,tteacher]:",Set shared object property
